Event ID,District,Disease,Start Date,End Date,Duration,Peak Cases,Peak Z-score,Highest Risk,Medium Days,High Days,Critical Days,Start Month
EVT-0001,Kannur,Chickenpox,2025-01-02,2025-01-02,1,2,2.0775656595562606,Medium,1,0,0,2025-01
EVT-0002,Kannur,Chickenpox,2025-02-02,2025-02-02,1,1,2.94957624075052,High,0,1,0,2025-02
EVT-0003,Kannur,Chickenpox,2025-02-13,2025-02-13,1,1,2.94957624075052,High,0,1,0,2025-02
EVT-0004,Kannur,Chickenpox,2025-02-18,2025-02-18,1,2,3.975714565497161,Critical,0,0,1,2025-02
EVT-0005,Kannur,Chickenpox,2025-03-26,2025-03-26,1,1,2.94957624075052,High,0,1,0,2025-03
EVT-0006,Kannur,Chickenpox,2025-04-04,2025-04-04,1,1,2.94957624075052,High,0,1,0,2025-04
EVT-0007,Kannur,Chickenpox,2025-04-10,2025-04-11,2,1,2.94957624075052,High,0,2,0,2025-04
EVT-0008,Kannur,Chickenpox,2025-05-06,2025-05-06,1,1,2.9495762407505195,High,0,1,0,2025-05
EVT-0009,Kannur,Chickenpox,2025-05-11,2025-05-11,1,1,3.678767909685695,Critical,0,0,1,2025-05
EVT-0010,Kannur,Chickenpox,2025-05-14,2025-05-15,2,1,2.9495762407505195,High,0,2,0,2025-05
EVT-0011,Kannur,Chickenpox,2025-05-19,2025-05-19,1,1,2.1984843263788174,Medium,1,0,0,2025-05
EVT-0012,Kannur,Chickenpox,2025-06-14,2025-06-14,1,1,2.5066578014027594,High,0,1,0,2025-06
EVT-0013,Kannur,Chickenpox,2025-06-16,2025-06-16,1,1,2.1984843263788174,Medium,1,0,0,2025-06
EVT-0014,Kannur,Chickenpox,2025-07-16,2025-07-16,1,1,2.1984843263788174,Medium,1,0,0,2025-07
EVT-0015,Kannur,Chickenpox,2025-07-19,2025-07-19,1,2,3.7172095796206475,Critical,0,0,1,2025-07
EVT-0016,Kannur,Chickenpox,2025-07-26,2025-07-27,2,2,3.108573076472143,Critical,0,1,1,2025-07
EVT-0017,Kannur,Chickenpox,2025-08-26,2025-08-26,1,1,2.506657801402759,High,0,1,0,2025-08
EVT-0018,Kannur,Chickenpox,2025-08-28,2025-08-28,1,1,2.1984843263788174,Medium,1,0,0,2025-08
EVT-0019,Kannur,Chickenpox,2025-09-08,2025-09-08,1,1,2.1984843263788174,Medium,1,0,0,2025-09
EVT-0020,Kannur,Chickenpox,2025-10-05,2025-10-05,1,1,2.198484326378818,Medium,1,0,0,2025-10
EVT-0021,Kannur,Chickenpox,2025-10-20,2025-10-20,1,1,2.198484326378818,Medium,1,0,0,2025-10
EVT-0022,Kannur,Chickenpox,2025-11-02,2025-11-02,1,1,2.198484326378818,Medium,1,0,0,2025-11
EVT-0023,Kannur,Chickenpox,2025-11-07,2025-11-07,1,1,2.94957624075052,High,0,1,0,2025-11
EVT-0024,Kannur,Chickenpox,2025-11-11,2025-11-11,1,1,2.50665780140276,High,0,1,0,2025-11
EVT-0025,Kannur,Chickenpox,2025-11-16,2025-11-16,1,1,2.198484326378818,Medium,1,0,0,2025-11
EVT-0026,Kannur,Chickenpox,2025-11-20,2025-11-20,1,1,2.198484326378818,Medium,1,0,0,2025-11
EVT-0027,Kannur,Chickenpox,2025-12-11,2025-12-11,1,2,3.3280183615312664,Critical,0,0,1,2025-12
EVT-0028,Kannur,Chikungunya,2025-01-23,2025-01-24,2,1,2.50665780140276,High,1,1,0,2025-01
EVT-0029,Kannur,Chikungunya,2025-02-02,2025-02-02,1,1,2.1984843263788174,Medium,1,0,0,2025-02
EVT-0030,Kannur,Chikungunya,2025-02-09,2025-02-09,1,1,2.1984843263788174,Medium,1,0,0,2025-02
EVT-0031,Kannur,Chikungunya,2025-02-23,2025-02-23,1,1,2.9495762407505213,High,0,1,0,2025-02
EVT-0032,Kannur,Chikungunya,2025-03-10,2025-03-12,3,1,2.9495762407505213,High,0,3,0,2025-03
EVT-0033,Kannur,Chikungunya,2025-03-25,2025-03-25,1,1,2.50665780140276,High,0,1,0,2025-03
EVT-0034,Kannur,Chikungunya,2025-04-11,2025-04-11,1,1,3.678767909685699,Critical,0,0,1,2025-04
EVT-0035,Kannur,Chikungunya,2025-04-23,2025-04-23,1,1,2.9495762407505213,High,0,1,0,2025-04
EVT-0036,Kannur,Chikungunya,2025-05-02,2025-05-02,1,1,2.9495762407505213,High,0,1,0,2025-05
EVT-0037,Kannur,Chikungunya,2025-05-04,2025-05-04,1,1,2.50665780140276,High,0,1,0,2025-05
EVT-0038,Kannur,Chikungunya,2025-05-06,2025-05-06,1,1,2.1984843263788174,Medium,1,0,0,2025-05
EVT-0039,Kannur,Chikungunya,2025-05-23,2025-05-23,1,1,2.50665780140276,High,0,1,0,2025-05
