Event ID,District,Disease,Start Date,End Date,Duration,Peak Cases,Peak Z-score,Highest Risk,Medium Days,High Days,Critical Days
EVT-0001,Kannur,Chickenpox,2025-07-26,2025-07-27,2,2,3.108573076472143,Critical,0,1,1
EVT-0002,Kannur,Common Cold,2025-05-24,2025-05-25,2,2,4.299366563289116,Critical,0,0,2
EVT-0003,Kannur,Malaria,2025-06-10,2025-06-12,3,2,3.7172095796206506,Critical,0,2,1
EVT-0004,Kannur,Typhoid,2025-05-25,2025-05-26,2,2,3.505242787381738,Critical,1,0,1
EVT-0005,Kannur,Viral Fever,2025-01-13,2025-01-14,2,2,4.299366563289114,Critical,0,0,2
EVT-0006,Kannur,Viral Fever,2025-04-08,2025-04-10,3,2,3.505242787381738,Critical,1,1,1
EVT-0007,Kannur,Viral Fever,2025-11-04,2025-11-05,2,2,3.9757145654971624,Critical,0,1,1
EVT-0008,Kasaragod,Flu,2025-11-24,2025-11-25,2,2,3.7172095796206497,Critical,0,1,1
EVT-0009,Kasaragod,Malaria,2025-04-04,2025-04-05,2,2,3.7172095796206515,Critical,0,1,1
EVT-0010,Kozhikode,Chikungunya,2025-08-27,2025-08-28,2,2,3.5052427873817376,Critical,1,0,1
EVT-0011,Malappuram,Common Cold,2025-07-16,2025-07-17,2,2,5.294651389216607,Critical,0,0,2
EVT-0012,Malappuram,Malaria,2025-04-12,2025-04-13,2,2,3.5052427873817407,Critical,1,0,1
EVT-0013,Palakkad,Chickenpox,2025-02-25,2025-02-26,2,2,3.9757145654971637,Critical,0,1,1
EVT-0014,Palakkad,Flu,2025-06-16,2025-06-17,2,2,3.9757145654971637,Critical,0,1,1
EVT-0015,Wayanad,Flu,2025-06-12,2025-06-14,3,2,4.299366563289115,Critical,0,1,2
EVT-0016,Wayanad,Malaria,2025-04-13,2025-04-14,2,3,4.588229707834152,Critical,0,1,1
