District,Disease,Start,End,Peak Cases,Peak Z,max_risk,Event ID,Duration,Tier,Highest Risk,Region
Alappuzha,Dengue,2023-07-08,2023-07-09,1,2.165,1,KL-0001,2,Watch-Tier Event,Medium,South Kerala
Alappuzha,Influenza,2023-10-14,2023-10-18,1,2.165,1,KL-0002,5,Watch-Tier Event,Medium,South Kerala
Alappuzha,Leptospirosis,2022-06-04,2022-06-05,1,2.0132028309884555,1,KL-0003,2,Watch-Tier Event,Medium,South Kerala
Alappuzha,Leptospirosis,2024-06-08,2024-06-10,2,2.553,2,KL-0004,3,Confirmed-Tier Event,High,South Kerala
Alappuzha,Leptospirosis,2024-06-12,2024-06-13,1,2.093472449523183,1,KL-0005,2,Watch-Tier Event,Medium,South Kerala
Alappuzha,Rabies,2023-04-17,2023-04-18,1,2.165,1,KL-0006,2,Watch-Tier Event,Medium,South Kerala
Alappuzha,Rabies,2024-11-22,2024-11-27,1,2.947268999908746,2,KL-0007,6,Watch-Tier Event,High,South Kerala
Idukki,Leptospirosis,2020-07-26,2020-07-29,2,2.9472689999087502,2,KL-0008,4,Confirmed-Tier Event,High,South Kerala
Idukki,Leptospirosis,2020-07-31,2020-08-02,2,2.949576240750525,2,KL-0009,3,Confirmed-Tier Event,High,South Kerala
Idukki,Leptospirosis,2022-07-21,2022-07-23,0,2.165,1,KL-0010,3,Watch-Tier Event,Medium,South Kerala
Idukki,Leptospirosis,2022-10-19,2022-10-22,1,3.729729796344687,3,KL-0011,4,Watch-Tier Event,Critical,South Kerala
Idukki,Malaria,2024-12-11,2024-12-16,1,2.165,1,KL-0012,6,Watch-Tier Event,Medium,South Kerala
Kannur,Chickenpox,2018-12-17,2018-12-21,1,3.115691188815444,3,KL-0013,5,Watch-Tier Event,Critical,North Kerala
Kannur,Chickenpox,2020-05-14,2020-05-17,2,2.506657801402763,2,KL-0014,4,Confirmed-Tier Event,High,North Kerala
Kannur,Chickenpox,2021-02-28,2021-03-01,3,3.116,3,KL-0015,2,Confirmed-Tier Event,Critical,North Kerala
Kannur,Chikungunya,2018-04-13,2018-04-17,1,2.552614467945186,2,KL-0016,5,Watch-Tier Event,High,North Kerala
Kannur,Chikungunya,2020-10-16,2020-10-19,1,2.0934724495231865,1,KL-0017,4,Watch-Tier Event,Medium,North Kerala
Kannur,Chikungunya,2022-10-14,2022-10-18,2,2.947268999908752,2,KL-0018,5,Confirmed-Tier Event,High,North Kerala
Kannur,Common Cold,2021-03-15,2021-03-17,1,2.9472689999087587,2,KL-0019,3,Watch-Tier Event,High,North Kerala
Kannur,Common Cold,2023-04-22,2023-04-25,2,3.116,3,KL-0020,4,Confirmed-Tier Event,Critical,North Kerala
Kannur,Dengue,2018-09-13,2018-09-14,0,2.0934724495231882,1,KL-0021,2,Watch-Tier Event,Medium,North Kerala
Kannur,Dengue,2019-01-27,2019-01-29,1,2.165,1,KL-0022,3,Watch-Tier Event,Medium,North Kerala
Kannur,Dengue,2025-12-13,2025-12-14,1,3.1156911888154553,3,KL-0023,2,Watch-Tier Event,Critical,North Kerala
Kannur,Influenza,2020-07-01,2020-07-02,1,2.165,1,KL-0024,2,Watch-Tier Event,Medium,North Kerala
Kannur,Influenza,2020-08-11,2020-08-12,1,2.318,1,KL-0025,2,Watch-Tier Event,Medium,North Kerala
