Event ID,Tier,Alert Label,District,Disease,Start,End,Duration,Peak Cases,Peak Z,Medium Days,High Days,Critical Days
EVT-0001,Watch-Tier Event,Watch-Tier Event,Kannur,Dengue,2025-12-13,2025-12-14,2,1,3.116,0,1,1
EVT-0002,Watch-Tier Event,Watch-Tier Event,Kannur,Malaria,2025-07-20,2025-07-23,4,1,2.947,0,4,0
EVT-0003,Watch-Tier Event,Watch-Tier Event,Kannur,Typhoid,2025-04-09,2025-04-10,2,0,2.165,2,0,0
EVT-0004,Watch-Tier Event,Watch-Tier Event,Kannur,Viral Fever,2025-01-17,2025-01-19,3,0,2.481,3,0,0
EVT-0005,Confirmed-Tier Event,Medium,Kannur,Viral Fever,2025-04-10,2025-04-11,2,2,2.093,2,0,0
EVT-0006,Watch-Tier Event,Watch-Tier Event,Kannur,Viral Fever,2025-07-24,2025-07-28,5,1,2.947,3,2,0
EVT-0007,Watch-Tier Event,Watch-Tier Event,Kasaragod,Viral Fever,2025-08-17,2025-08-18,2,1,2.093,2,0,0
EVT-0008,Watch-Tier Event,Watch-Tier Event,Kozhikode,Chickenpox,2025-07-08,2025-07-10,3,1,2.481,3,0,0
EVT-0009,Watch-Tier Event,Watch-Tier Event,Kozhikode,Common Cold,2025-04-17,2025-04-20,4,1,2.165,4,0,0
EVT-0010,Watch-Tier Event,Watch-Tier Event,Kozhikode,Dengue,2025-07-08,2025-07-10,3,1,2.165,3,0,0
EVT-0011,Watch-Tier Event,Watch-Tier Event,Kozhikode,Flu,2025-04-25,2025-04-26,2,1,2.165,2,0,0
EVT-0012,Watch-Tier Event,Watch-Tier Event,Kozhikode,Flu,2025-04-30,2025-05-01,2,0,2.947,1,1,0
EVT-0013,Watch-Tier Event,Watch-Tier Event,Kozhikode,Malaria,2025-02-21,2025-02-22,2,0,2.165,2,0,0
EVT-0014,Watch-Tier Event,Watch-Tier Event,Kozhikode,Malaria,2025-04-26,2025-04-27,2,1,2.165,2,0,0
EVT-0015,Watch-Tier Event,Watch-Tier Event,Kozhikode,Viral Fever,2025-01-27,2025-01-28,2,0,2.013,2,0,0
EVT-0016,Watch-Tier Event,Watch-Tier Event,Malappuram,Dengue,2025-12-22,2025-12-26,5,1,2.947,2,3,0
EVT-0017,Watch-Tier Event,Watch-Tier Event,Malappuram,Flu,2025-03-20,2025-03-23,4,0,2.165,4,0,0
EVT-0018,Watch-Tier Event,Watch-Tier Event,Malappuram,Flu,2025-05-17,2025-05-18,2,0,2.553,1,1,0
EVT-0019,Watch-Tier Event,Watch-Tier Event,Malappuram,Flu,2025-10-17,2025-10-18,2,1,2.165,2,0,0
EVT-0020,Watch-Tier Event,Watch-Tier Event,Malappuram,Viral Fever,2025-05-28,2025-05-30,3,1,2.165,3,0,0
EVT-0021,Confirmed-Tier Event,High,Palakkad,Chikungunya,2025-06-05,2025-06-09,5,2,2.947,4,1,0
EVT-0022,Confirmed-Tier Event,High,Palakkad,Chikungunya,2025-12-12,2025-12-18,7,3,2.947,2,5,0
EVT-0023,Watch-Tier Event,Watch-Tier Event,Palakkad,Common Cold,2025-10-02,2025-10-04,3,1,2.947,1,2,0
EVT-0024,Watch-Tier Event,Watch-Tier Event,Palakkad,Malaria,2025-07-28,2025-07-29,2,1,2.165,2,0,0
EVT-0025,Watch-Tier Event,Watch-Tier Event,Palakkad,Viral Fever,2025-05-23,2025-05-25,3,1,2.165,3,0,0
EVT-0026,Confirmed-Tier Event,Medium,Wayanad,Common Cold,2025-02-06,2025-02-07,2,2,2.165,2,0,0
EVT-0027,Watch-Tier Event,Watch-Tier Event,Wayanad,Common Cold,2025-05-19,2025-05-20,2,1,2.165,2,0,0
EVT-0028,Watch-Tier Event,Watch-Tier Event,Wayanad,Flu,2025-05-15,2025-05-17,3,1,2.165,3,0,0
EVT-0029,Watch-Tier Event,Watch-Tier Event,Wayanad,Malaria,2025-02-05,2025-02-08,4,1,2.165,4,0,0
