district,disease_name,total_days,total_cases,non_zero_days,zero_days,percentage_zero_days,mean_daily_cases,median_daily_cases,standard_deviation,minimum_daily_cases,maximum_daily_cases,variance,first_date,last_date
Kannur,Chickenpox,2919,460,416,2503,85.74854402192533,0.15758821514217197,0.0,0.40621854906868937,0,3,0.1650135096074712,2018-01-01,2025-12-28
Kannur,Chikungunya,2919,526,478,2441,83.62452894826995,0.1801986981843097,0.0,0.4274730429536348,0,3,0.1827332024520401,2018-01-01,2025-12-28
Kannur,Common Cold,2919,483,452,2467,84.51524494689963,0.16546762589928057,0.0,0.39922780875067493,0,2,0.1593828432798655,2018-01-01,2025-12-28
Kannur,Dengue,2919,499,449,2470,84.61801986981843,0.17094895512161698,0.0,0.4260601305977361,0,4,0.18152723488495995,2018-01-01,2025-12-28
Kannur,Flu,2919,502,456,2463,84.37821171634121,0.17197670435080506,0.0,0.4171066559592102,0,2,0.17397796244547495,2018-01-01,2025-12-28
Kannur,Malaria,2919,480,436,2483,85.06337786913326,0.1644398766700925,0.0,0.41272961673631764,0,3,0.17034573653130763,2018-01-01,2025-12-28
Kannur,Typhoid,2919,475,432,2487,85.20041109969168,0.16272696128811237,0.0,0.40882347341536446,0,3,0.16713663241540322,2018-01-01,2025-12-28
Kannur,Viral Fever,2919,503,455,2464,84.41247002398082,0.1723192874272011,0.0,0.4263121896906791,0,4,0.18174208307886153,2018-01-01,2025-12-28
Kasaragod,Chickenpox,2919,375,348,2571,88.0781089414183,0.12846865364850976,0.0,0.3622072001212483,0,3,0.131194055819674,2018-01-01,2025-12-28
Kasaragod,Chikungunya,2919,326,304,2615,89.58547447756081,0.1116820829051045,0.0,0.33811538771881816,0,2,0.11432201541224672,2018-01-01,2025-12-28
Kasaragod,Common Cold,2919,376,347,2572,88.1123672490579,0.1288112367249058,0.0,0.3672541234014841,0,3,0.13487559115539252,2018-01-01,2025-12-28
Kasaragod,Dengue,2919,365,335,2584,88.52346694073313,0.12504282288454951,0.0,0.3643463212736109,0,3,0.13274824182561326,2018-01-01,2025-12-28
Kasaragod,Flu,2919,359,324,2595,88.90030832476874,0.12298732442617334,0.0,0.3659831185834605,0,3,0.13394364308807533,2018-01-01,2025-12-28
