District,Date,Confirmed,Recovered,Active,Death
pathanamthitta,09-03-2020,5,0,5,0
pathanamthitta,10-03-2020,4,0,9,0
pathanamthitta,23-03-2020,1,0,10,0
pathanamthitta,25-03-2020,2,0,12,0
pathanamthitta,26-03-2020,0,1,11,0
pathanamthitta,29-03-2020,0,4,7,0
pathanamthitta,31-03-2020,0,2,5,0
pathanamthitta,02-04-2020,1,0,6,0
pathanamthitta,03-04-2020,0,1,5,0
pathanamthitta,05-04-2020,1,0,6,0
pathanamthitta,06-04-2020,1,0,7,0
pathanamthitta,08-04-2020,1,0,8,0
pathanamthitta,12-04-2020,1,0,9,0
pathanamthitta,13-04-2020,0,3,6,0
pathanamthitta,24-04-2020,0,3,3,0
pathanamthitta,29-04-2020,0,1,2,0
pathanamthitta,30-04-2020,0,1,1,0
pathanamthitta,06-05-2020,0,1,0,0
pathanamthitta,12-05-2020,1,0,1,0
pathanamthitta,14-05-2020,1,0,2,0
pathanamthitta,18-05-2020,2,0,4,0
pathanamthitta,19-05-2020,1,0,5,0
pathanamthitta,20-05-2020,2,0,7,0
pathanamthitta,22-05-2020,1,0,8,0
pathanamthitta,24-05-2020,2,0,10,0
pathanamthitta,25-05-2020,3,0,13,0
pathanamthitta,27-05-2020,3,0,16,0
pathanamthitta,28-05-2020,6,0,22,0
pathanamthitta,29-05-2020,5,0,26,1
pathanamthitta,31-05-2020,4,2,28,0
pathanamthitta,01-06-2020,4,1,31,0
pathanamthitta,02-06-2020,1,1,31,0
pathanamthitta,03-06-2020,2,0,33,0
pathanamthitta,04-06-2020,14,1,46,0
pathanamthitta,05-06-2020,11,0,57,0
pathanamthitta,06-06-2020,9,0,66,0
pathanamthitta,07-06-2020,13,1,78,0
pathanamthitta,08-06-2020,3,0,81,0
pathanamthitta,09-06-2020,7,6,82,0
pathanamthitta,10-06-2020,3,6,79,0
pathanamthitta,11-06-2020,5,0,84,0
pathanamthitta,12-06-2020,7,0,91,0
pathanamthitta,13-06-2020,1,1,91,0
pathanamthitta,14-06-2020,2,0,93,0
pathanamthitta,15-06-2020,11,0,104,0
pathanamthitta,16-06-2020,6,4,106,0
pathanamthitta,17-06-2020,1,5,102,0
pathanamthitta,18-06-2020,11,3,110,0
pathanamthitta,19-06-2020,9,0,119,0
pathanamthitta,20-06-2020,17,12,124,0
pathanamthitta,21-06-2020,8,4,128,0
pathanamthitta,22-06-2020,4,0,132,0
pathanamthitta,23-06-2020,27,6,153,0
pathanamthitta,24-06-2020,25,1,177,0
